,0,1
Pat02,0.85167354,-0.75860906
Pat03,2.5385137,-1.6699537
Pat06,1.4066077,-1.0214056
Pat07,2.082618,-1.9410254
Pat08,2.0058994,-2.6813066
Pat100,2.4034028,-1.5042986
Pat101,3.093029,-1.6254467
Pat104,1.080134,-0.9209932
Pat106,1.351443,-1.8803979
Pat109,2.3551016,-2.2193632
Pat11,1.085001,-1.4395789
Pat110,4.087885,-4.031848
Pat115,2.9832575,-2.3555439
Pat118,2.8884666,-0.892249
Pat119,1.4213239,-1.2500192
Pat121,1.6442031,-2.3731067
Pat123,1.6084579,-1.2022011
Pat124,1.7591468,-1.9727668
Pat127,0.12029497,-0.036283612
Pat128,3.5443697,-3.155862
Pat129,2.641198,-1.8305975
Pat13,-0.046016738,-1.5020361
Pat130,1.0658267,-1.9326545
Pat131,4.1837363,-3.8071237
Pat133,3.3265753,-2.5596848
Pat135,3.6189122,-1.7740452
Pat138,1.5993148,-2.6142454
Pat139,0.2972657,0.1499407
Pat14,0.73610497,-1.376834
Pat140,3.118856,-2.4807358
Pat143,2.8019032,-2.8051372
Pat147,1.3906966,-0.92942226
Pat148,3.3638945,-3.2090483
Pat15,1.5826328,-1.4917179
Pat151,-0.41141576,-0.5864017
Pat159,2.0710115,-1.4170238
Pat16,1.8122214,-1.9576354
Pat160,1.8148429,-0.06382498
Pat162,2.8622863,-2.324409
Pat163,2.6233826,-1.8160675
Pat165,2.6206474,-0.79714453
Pat167,1.5073414,-0.93256414
Pat17,1.9138076,-2.3156586
Pat170,0.8565367,-0.17848748
Pat171,3.072096,-2.5597146
Pat18,2.0110593,-1.463168
Pat19,2.799672,-2.3041759
Pat21,2.5945382,-0.72069347
Pat25,-0.3041985,-0.7170167
Pat27,2.3947334,-3.2688165
Pat28,4.695607,-2.6103017
Pat32,0.8805703,-0.82423306
Pat33,-0.61391276,-0.16209778
Pat36,1.5700314,-2.0070605
Pat37,2.339259,-1.92565
Pat40,0.98322093,-1.4544976
Pat41,1.3789275,-0.9881823
Pat43,3.6699169,-2.7355053
Pat44,3.7584438,-3.2276976
Pat45,1.9924754,-1.6972417
Pat46,2.213866,-1.2358841
Pat49,3.1840658,-2.3688262
Pat50,3.0960248,-2.713168
Pat54,2.5190926,-1.5864607
Pat55,3.5747368,-3.0452673
Pat56,2.3232539,-1.9040326
Pat57,3.4322922,-2.4775543
Pat58,1.004621,-1.0522311
Pat59,1.8353872,-1.7001761
Pat60,0.3229584,-0.5203171
Pat62,2.274125,-1.2530266
Pat64,2.1299582,-1.5839142
Pat66,3.347707,-2.7036324
Pat67,1.8169749,-1.2269654
Pat70,1.3335546,-0.7404777
Pat71,2.7253652,-2.891034
Pat74,1.8342052,-1.4402668
Pat76,0.939073,-0.83612615
Pat78,1.8019763,-1.3795205
Pat80,0.8220711,-0.96895087
Pat81,0.6409952,-0.67927206
Pat82,3.3295128,-3.10909
Pat83,3.1945236,-3.0732875
Pat85,2.4091895,-2.3228536
Pat86,1.6618551,-1.9919502
Pat88,1.245259,-1.1059338
Pat92,2.0579731,-1.328647
Pat98,1.4202831,-1.0404716
Pat04,-0.97525537,1.2753206
Pat103,-1.0880628,-0.91870606
Pat105,0.4067244,-1.190231
Pat113,0.015917629,-0.19343138
Pat117,-0.44529575,-0.8192116
Pat126,-0.69210565,-0.3614576
Pat132,-0.36304736,-0.33301932
Pat174,-2.5404859,2.4178097
Pat24,2.034178,-1.6834763
Pat38,-2.0673552,1.2779181
Pat39,0.18307592,0.0953131
Pat47,0.5601026,-0.87023
Pat63,-0.6893582,-0.02842164
Pat73,-1.9796909,1.256402
Pat77,0.47038966,0.22693774
Pat79,-0.6251569,0.7958915
Pat90,-1.9884592,1.7178245
