,0,1
Pt1,0.2426385,-0.22496378
Pt10,1.2521762,-1.2265377
Pt11,1.6625824,-1.610339
Pt12,2.954983,-2.9538999
Pt14,2.2052376,-2.1421297
Pt16,1.9273354,-1.9544313
Pt17,-0.6956869,0.6124903
Pt20,0.2763656,-0.31045634
Pt22,2.0530171,-2.0498154
Pt23,1.0991629,-1.1028264
Pt25,2.1992958,-2.1254156
Pt29,1.1012453,-1.0830727
Pt30,1.4799592,-1.512831
Pt31,2.9885035,-2.9801996
Pt32,-0.73007566,0.7425105
Pt36,0.20916995,-0.22597694
Pt7,0.23742476,-0.23084351
Pt13,-1.1376563,1.0661261
Pt15,-0.21403328,0.24371353
Pt18,-0.18189433,0.08850232
Pt19,0.7402004,-0.6778696
Pt2,-1.328613,1.3211077
Pt21,-0.38006797,0.416031
Pt24,0.08360849,-0.07442854
Pt26,-0.46975216,0.35237527
Pt27,-0.36826456,0.33156592
Pt28,0.065095015,-0.14754622
Pt3,0.61238414,-0.6094657
Pt33,0.16159111,-0.16507545
Pt34,0.18288979,-0.19170326
Pt35,-0.23401028,0.20986852
Pt37,-1.0518857,1.0050521
Pt38,1.0096143,-1.0191424
Pt4,-2.207019,2.1430626
Pt5,-0.2546395,0.1933954
Pt6,-0.4470615,0.4242673
Pt9,0.9376324,-0.93242615
